mean,stdev,bias,skew,,mean,bias equation,skew equation
90,12,1.111111111,0.431190771,,,,
90,14,1.111111111,0.367763667,,,,
90,16,1.111111111,0.304093791,,,,
90,18,1.111111111,0.26821103,,,,
90,20,1.111111111,0.235110457,,,,
90,22,1.111111111,0.20595906,,,,
90,24,1.111111111,0.180012885,,,,
90,26,1.111111111,0.163242333,,,,
90,28,1.111111111,0.144020762,,,,
90,30,1.111111111,0.12566692,,,,
90,32,1.111111111,0.114472962,,,,
90,34,1.111111111,0.099810789,,,,
90,36,1.111111111,0.086405308,,,,
90,38,1.111111111,0.073258529,,,,
90,40,1.111111111,0.063731098,,,,
95,2,1.111111111,2.309616282,,,,
95,4,1.111111111,1.371549822,,,,
95,6,1.111111111,0.921309478,,,,
95,8,1.111111111,0.658535418,,,,
95,10,1.111111111,0.525151567,,,,
95,12,1.111111111,0.435142306,,,,
95,14,1.111111111,0.356268367,,,,
95,16,1.111111111,0.308579536,,,,
95,18,1.111111111,0.268288999,,,,
95,20,1.111111111,0.232896469,,,,
95,22,1.111111111,0.207757458,,,,
95,24,1.111111111,0.181615189,,,,
95,26,1.111111111,0.165975784,,,,
95,28,1.111111111,0.14616983,,,,
95,30,1.111111111,0.128146931,,,,
95,32,1.111111111,0.115510859,,,,
95,34,1.111111111,0.098939656,,,,
95,36,1.111111111,0.086310218,,,,
95,38,1.111111111,0.073959739,,,,
95,40,1.111111111,0.063801219,,,,
